,text,true,pred
87,"Derma e Tea Tree & E Antiseptic Creme I usually don't have the time to review products but i had to set out time to put in this review. i bought this product based on other peoples review and i'm glad i did. i have been using it for a week and all the scaly dryness on my face is all gone. for some reason it did not work to well on my scalp probably because i used it in combination with something else but it worked great on my skin. i don't my the smell, i'm just happy about the results. you just saved me hundreds of dollars that i would have spent seeing a dermatologist.",health personal care,beauty
88,"Nature's Gate Organics Deodorant, 1.7 oz I love this deodorant. After reading about the negative effects of other mostly chemical soup type deodorants, I began searching out all natural alternatives. I have tried about 10 different kinds and this is by far my favorite. But I should mention, every one is different and that is probably why some of the other highly rated deodorants I tried didn't really work well for me, some of them even made me break out, not because they are bad, but because everybody is different. And thats also why you are reading bad reviews for this product. For me, nothing comes close to this deodorant. It LASTS forever! I only need to buy a new stick every couple of months. It lasts a long time too (hours). Moreover, it actually works! Some of those all natural sticks didn't do much of anything. It used to be 100% all natural, but they changed it for some reason and now it is all natural EXCEPT for they add fragrance to it. However, I would rather have one unnatural ingredient added to an otherwise natural product than buy a regular 100% chemical product from a big grocery chain.",beauty,health personal care
89,"Evenflo Portable Ultrasaucer We bought this product for our second daughter, she loves it! Ever since she was born she has liked to be entertained. For christmas she got this item and it has been so great! she loves sitting and playing. Since she is able to move in a circle she never gets bored. I have read the review about the one toy being unsafe, my daughter has been playing in this entertainer since she was 4 months old and has never got hurt by anything. She loves the jester. My older daughter, who is 2 1/2 loves to stand beside the entertainer and play with the toys too. I wish I had the entertainer when she was a baby. Unlike most of the other entertainers we looked at, this entertainer is very quiet. The music is not loud, which is very good because loud toys are not good for babys ears. i would buy this entertainer agian if anything ever happened to the one I have. I have had it for 3 months now and everthing works great on it still.",baby products,toys games
90,"Living Harvest Organic Hemp Protein Powder, Original Flavor, 16-Ounce Plastic Container Just bought this Hemp powder for adding some protein to my diet, but was discouraged upon reading reviews regarding what it's good to mix it with.However, with my being an ""ice cream-aholic"", I decided to try a rounded-teaspoon of this hemp powder stirred into a scoop of Costco's high-fat vanilla ice cream, and it tasted great!So I added another heaping teaspoon to it, and find it easily edible, and am going to have a second serving.Although I was aiming for high protein/low sugar/low salt/low junk additive product.....I was going to eat the ice cream sometime today anyway. So why not ""require"" myself to add this protein to it when I have ice cream....at least until I have a chance to purchase some of the other suggested items to mix this hemp powder with.",grocery gourmet food,health personal care
91,"Earth Mama Angel Baby Angel Baby Shampoo & Body Wash I am in love with this baby shampoo. It smells like a creamsicle (vanilla and orange). I adore the way it makes my one year old smell. And it leaves his hair soft and shiny. I know other people had said it makes their little ones' hair dry, but I don't seem to have that problem. I have even used the soap on my own hair and I had no issues. I also want to say that a little of this soap goes a very long way. I use about 2 pumps per bath! It is a little pricier than other baby soaps, but you get what you pay for. The fact that it has zero toxins is important to me. This soap got a rating of 0 (the best you can get) on Cosmetic Database! I would recommend this soap to anyone!",baby products,beauty
92,"K&H Lectro Soft Outdoor Bed When the mat first arrived I thought, this is weird, but then after following the instructions for set up, I thought it was pretty cool. Only problem was, after use for about a month, the mat lost it's heat, and the foam pad inside kept shifting, twisting and bunching up. I'm thinking the twisting and such might have caused some problems with the wiring inside and that's why it lost it's heat. Ultimately, I am returning it and probably going to buy one of the hard ""Original Lectro-Kennel"" pads. I have a small one for my rabbit, and even though it's hard, I just toss a little blanket over it and he likes it so hopefully I can toss a thin pad over the hard Lectro-Kennel warming pad and still get a little softness and the warmth too, without the problems.",pet supplies,health personal care
93,"Nivea Body Milk 400ml I also wanted the superior European version of Milk. Same story with product switched for international version without Vitamin E in a lilac colored pump bottle. Am in the process of getting a product return authorization from them. They do not have any more of the German stuff. Drat! Usually, European versions of cosmetic products, like Clinique, are inferior to US. Not in this case.",beauty,health personal care
94,"Charming Small Henrietta Chicken My dogs need really durable toys because they are very curious what is inside of the each new toy I buy for them. This one lasted no more than 15 minutes. If you need a good and durable dogy toy, this one is not for you.",pet supplies,toys games
95,"Baby Einstein Discovering Water Play Gym I was so anxious to get this and when I finally did, my daughter was just not that interested with it. She barely plays with it. I was hoping that with this she would spend more time on her tummy because she normally hates that. Maybe that's why she didn't care much for this.",baby products,toys games
96,No-Rinse Body Bath with Odor Eliminator - 16 oz. I have used No Rinse Body Bath for years it works very well for my handicapped mother who cannot get into the tub.,beauty,health personal care
97,"SHANY Silver Aluminum Makeup Case, 4 Pounds This is a huge makeup train case but I found it to be of poor quality. It's hard to tell from the pictures but the interior is some cheap foam material. The separators on the inside of mine were flimsy and coming separated from the cardboard that it was glued on. I am going to end up returning this item, and spending more on something better quality.",beauty,toys games
98,"Acqua Di Parma Colonia I got a tube from a friend who returned from Italy, for free. Used it up. It left my hair silky, shiny and smelling great. Was shocked when I saw this price. It's excellent, but thirty dollars?",health personal care,beauty
99,"Prevail Premium Washcloth, Large, 96 Washcloths (Pack of 6) These wipes are large and think unlike the regular wipes for babies. Sometimes a little difficult to get out of the box, but otherwise great.",health personal care,baby products
100,Hitec 32065S HS-65MG Mighty Feather Metal Gear Servo I installed these servos as a replacement to the Eflite stock servos in my Blade 400 helicopter. They are much better than the stock servos. Controll has improved and they are much stronger.,toys games,health personal care
101,"Nature's First Aid Skin Care 2 oz Zims crack cream works great miracles overnight. When you have dried cracked hands that hand cream doesn't do much improvement for, apply Zims crack cream and you see miracles overnight!! I love Zims crack cream.",health personal care,beauty
102,"EvenFlo SmartSteps Exersaucer Entertainer My son is 8 months old and he loves this toy!!! We purchased this when he was about 4 months old and the older he gets, the more fun he has in it! He is an avid crawler and starting to cruise. We have wood floors which are not ideal for a baby learning to walk so this is one of our favorite ""play stations"". He keeps himself so entertained, claps and bounces, and gets more and more excited as his ""big bounces"" set off the lights and music! This is definitely money well spent - I highly recommend this exersaucer!",baby products,toys games
103,"Hollywood Cookie Diet Meal Replacement Cookies, Lemon Cookies, 12-Count, 16.93-Ounces package This is the absolute best way to diet. I use the cookies to replace my breakfast and dinner and eat a sensible lunch. Although, I do cheat sometimes, I'm losing an average of 3-4 lbs a week. This is good enough keep me on target for my summer dresses. The lemon cookies are my favorite of all the flavors and it's like getting treats twice daily.Lemon Cookie Lover (-;",health personal care,grocery gourmet food
104,Dr. Burt's Res-Q Ointment (Comfrey) - .6 oz. - Salve both of my daughters get huge welts from mosquito bites. this product reduces the size of the bites AND stops the itching. i have little jars of it everywhere.,beauty,health personal care
105,Royall Spyce After Shave Lotion Cologne Great smelling men's fragrance that we thought we could only get on the islands. Came fairly quickly in good shape.,beauty,health personal care
106,"Cc Pollen Bee Pollen High Desert packed in a bag I have tried many types of pollen, needed to find one with the best taste that my kids would approve of. This one definitely wins hands down! Other types are hard, dried, and very ""earthy"" tasting. This pollen is what you would expect the nectar of flowers to taste like... sweet...with a melt in your mouth freshness. I've tried Y.S. Organic and does not come close to this quality, in my opinion. The organic variety sold at Mountain Rose Herbs does not taste good to us either. The fact that this comes from wild flowers in the desert, makes it even better than ""organic"". This is the one to buy!",health personal care,grocery gourmet food
107,"Goldbug Animal 2 in 1 Harness My 22 month old daughter is very active and curious and doesn't like to hold hands. I was really hoping this would work for her. It's very cute, and she wanted to cuddle it when it first arrived. But then I strapped it onto her, and ever since she's hated it with a passion. We've tried it in a variety of settings with no luck. The other day when she saw it sitting on the kitchen counter she ran over to yell ""NO!"" at it.",baby products,toys games
108,"Tea Tree Ultimates - Funga Soap This is really great for getting those tough fungal infections. I have constantly battled with several infections all over and have done many things, over the counter ointments and sprays, prescription drugs, etc. The only thing that remotely worked was vinegar on my feet and it is tough to bathe in vinegar (as well as costly). This soap worked really well for me, and I started seeing results within a few days. My only complaint would be that it doesn't come in a bigger bottle as 6oz is not really enough to use as body wash on a daily basis. I would not expect this to rid you of an infection in a week or two but I would say that I have had much better results with this than anything else I have tried.",health personal care,beauty
109,"Odwalla Nourishing Food Bar, Chocolate Chip Peanut, 2.2-Ounce Bars in 12-Count Boxes (Pack of 2) After my son got a diagnosis on the Autism spectrum, I started doing research on diet. Our diet has changed dramatically; we are all dairy, wheat and refined sugar free, but the one thing my son missed was the cereal bar. I used to give him TONS of the Nutri-Grain bars until I read what was in them. (Just try to find one without HFCS!) These are the perfect substitute. Not only do they taste great, but they travel well. I toss one in his backpack for pre-school snack time and it holds him for hours. I paid $7 for a box of 6 in the store then came here to find them on SALE??!! I just ordered four boxes and will be ordering more. We've tried the choco peanut flavor and it's a toddler favorite. I'm a fan of the superfood. They also don't look over processed or ""manicured"". They look like something I would make, but in attractive packaging so my son thinks he's getting a treat. Love them, love them, love them!",health personal care,grocery gourmet food
110,"Sunbeam Personal Electronic Mosquito Repellers Set of 3 I bought this set of 3 because I'd lost my original one. These do not work-the package said the output mimics the male mosquito, which repels the biting female. It SO did NOT work! The old version's packaging said that it mimics a mosquito predator- I walked under a tree with that one and hundreds of mosquitos fled in a huge cloud! Happily, I found my good one last night.One other note",health personal care,toys games
111,"Melissa & Doug Piggy Bank Play Set I bought this for my two year old little girl because her 4 year old brother got a real piggy bank for Christmas. I didn't want her to play with real coins (hello choking hazard!). This bank is cute and it did the trick. But, it is pretty basic.",baby products,toys games
112,"Munchkin Play N Pat Water Mat First off....DONT EVEN THINK ABOUT THIS TOY IF YOU HAVE CATS!!!!!I bought this for my 7 month old daughter and she really liked it. It helped her to sit by herself for longer periods of time which was great. It also really entertained her, she likes aquatic themed toys.However, mine had several holes in the water part which leaked everywhere during the night. I had a tidal pool in my living room!The downside to this toy is your supposed to empty the water out after every use. I must be super strong because after placing the valve on the first time neither I, my mother or my husband could remove it!! We had to take it back the next day.Its an inexpensive toy and as long as yours works then I would go for it. But if its broken you'll have more water on your floor then in the toy.",baby products,toys games
113,"Bugband Wristband Insect Repellent Very strong smell, even sealed in two layers of plastic bags, it can make my cloth smell like the ring, haven't used it for long, so far no bites, knock on wood.",beauty,health personal care
114,"Woodland Scenics Hot Wire Replacement Wire 4' WOOST1436 I made a home made hot wire foam cutter and used this stuff. It is a little thin and will stretch if it is over 18 inches but for small intricate jobs it works well considering the tool it was designed for is 6-8"". I would use it form small jobs that require precision, be sure to heat it up enough to cut the foam like butter and not drag.",toys games,pet supplies
115,"Glad SimplyCooking OvenWare 9x12, 2-Count Packages (Pack of 6) Yes, these seem to have disappeared from the stores. Drove 65 miles on way last week to find them in a small town store. Glad to have found them here. When my son was deployed 4 years ago, I sent a package every three weeks. One of these was in each box. I would bake a favorite bar recipe in this pan, let it cool, take it out of the pan and wrap with plastic wrap. Wash the pan and put the wrapped bake goods back into the pan and cover. Wonderful for mailing. They fit perfectly in a med flat rate box, you just have to bend the tab some or cut it off. Slide in a few packs of nuts or something else and you're good to go. If I send a cake, I send it unfrosted in the pan and send a container of frosting on the side. Now, he is back there and the packages have already started to flow. Thanks for a great product.",health personal care,grocery gourmet food
116,"Soft 'N Style Aluminum Series Bottle 20 oz. (Pack of 3) I ordered this set, believing that what was pictured would be what I received. Not the case. I, also, received three in silver, therefore not being able to distinguish one mixture from another if I were to use these bottles. They are being returned. I suggest that the seller either change the photograph in order to represent the product properly or send the three colors as shown.",beauty,health personal care
117,Kyjen Hide-A-Squirrel Puzzle Toy for Dogs My daughter thought this would be a fun toy to give to our 4 month Maltese for Christmas. He absolutely adores this toy! He immediately was interested and has continued to play with this constantly. It's adorable and so much fun!,pet supplies,toys games
118,"TOCCA Candles, Bath, Body and Fragrances Awsome, but very expensive as usual for this brand. Wax burns fairly slow and you musst watch not to place the candle to close to anything.. glass gets super hot. Smell is heaven.",health personal care,beauty
119,"Hagen Crabworx Hammock Its very realistic and all but not for a hermit crab. First the hammock is to small and to high! It is way to difficult to get the little guys up there, but other than that it has nice details.",pet supplies,toys games
120,"Little Tikes 2-in-1 Snug & Secure Swing I read most all of the reviews on most all of the toddler swings out there. It seems like other reviewers have covered all the basics about this one. All of the issues others listed as cons were not really a problem for me.- The attached ropes are rather short - definitely a problem if you plan to hang it in a tree. We have a swing set already set up, and the length was just right for us.- The safety straps do take some getting used to in order to release them, but are very secure, so if your toddler happens to be a mini-Houdini, you can rest assured they probably still won't be able to get out of this!- The way the shoulder straps 'fit' does cause them to slouch quite a bit, but my son is a professional lounger (you should see him in his stroller - with his feet up!) and doesn't seem bothered by this.- A few reviews said the straps mildew easily - I live in what's been called the 'second sunniest town in the U.S.' so not a problem for me.- Some reviewers said it flipped easily. I've tried to flip it and can't. In the event that it did somehow tip over, it seems like the shoulder straps would keep your child in place, and a good parent would be standing right there anyway.I would recommend this swing, but you know your child (and your environment) best - consider these things and go with your gut!",toys games,baby products
121,"nan I ordered this bedcane for my husband who is 6' tall, weighs about 250 lbs, and has mobility issues with weakness in his legs. It came partially assembled with very clear directions. I was able to install it myself in less than 10 minutes. It is a sturdy design and works wonderfully for him. The adjusbability of the metal handle was nice to set it at the perfect height for his needs. The removable pocket that slips over the handle is great for him to have items that he uses during the night at arm's reach. The strap that comes with it lays under the mattress and attaches to the bed frame on the other side of the bed. Because our box springs fits very tight along the bed frame I attached the strap to the leg of the bed frame instead of the side and the strap was plenty long enough to accomodate that change. I would definitely recommend this product to my family and friends.",health personal care,baby products
122,HAIR OFF Facial Buffer 3 in 1 (Model I LOVE THIS PRODUCTIT WORKED GREATI WILL DEFF CONTINUE TO USE,health personal care,beauty
123,"Munchkin Snack Catcher, 9 Ounce, 12+ Months My daughter uses this for her cheerios. She'll reach in and grab a few but usually 3 land in her hand and 3 land on the floor. So, my dog runs around behind her and gets all that fall on the floor. Goldfish don't seem to spill out as easily though. It's better than an open bowl I guess.",baby products,pet supplies
124,Kookaburra Wash (16-Ounce) I wash everything for my baby in Kookaburra. I'm amazed at how SUCH a small amount (I use about 1/2 an ounce in my high efficency washer) gets out all of our stains and is still very gentle on my baby's skin. A must try for all moms!,health personal care,baby products
125,"Delorean Back To The Future, Part II Pros",toys games,health personal care
126,Pure Fiji Milk Bath 16 oz. This was ordered online sbd was delivered in a reasonable time.ThanksBeverly,beauty,grocery gourmet food
127,"Blistex Lip Medex, .38-Ounce (Pack of 12) I'd recommend this product. In fact, I already have. It gives a very cold sensation to let you know it's working! My lips look great and feel fabulous for the day with twice-daily applications. Unfortunately, it doesn't have lasting effects. It must be applied two or three times daily. A longer effect would have been excellent. But despite the inconvenience, this is a wonderful product, far superior to anything else I have tried. I'll continue to use it.",health personal care,beauty
128,52 Animal Man Action Figure Would NEVER buy from this person and probably Amazon EVER again! The box was in bad condition it came opened and broken. I was unsatisfied with my purchase. I heard about bad things like this happening at Amazon but never thought to be true until now!,toys games,health personal care
129,"Jobst For Men Thigh High 20-30mmHg Ribbed Closed Toe, S, Black An excellent product. My husband has used this product for years. A little expensive, but get great service out of them.",health personal care,beauty
130,Lambs & Ivy Sports USA Wallpaper Border 8''x30'' I love them... They are so cute.. but I AM SO DISAPPOINTED that they are not peel off or sticker.I had to return them back!,baby products,toys games
131,"Now Foods, Apricot Kernel Oil I also use NOW coconut, rosehip seed, jojoba, grapeseed, & sweet almond oils (probably missing a few). This product meets my expectations. I have not tried it on food (I use coconut and olive oils for that) but it is great for skin and hair. I use it alternately with the aforementioned oils.",beauty,grocery gourmet food
132,"OBSESSION by Calvin Klein After Shave (unboxed) 4 oz for Men I use this stuff to make my own body spray. Put it in a empty spray bottle. The best vs axe, old spice, etc.",health personal care,beauty
133,Black Tea with Black Tea Extract by Speziali Fiorentini Body Lotions I can't go wrong getting her any Speziali Fiorentini as a gift - this is her favorite scent - although we both seem to like them all. Great gift and nice yet different scents.,beauty,grocery gourmet food
134,"Nature's Miracle Stain and Odor Remover I tried this on a very nasty carpet that has probably been cleaned several times with a lot of different chemicals before trying this =( I noticed the stench is milder in the area that i drenched down. But its not gone, the carpet probably needs replaced. I did use it on a load of laundry that smelled pee-ish and on a blanket that got peed on.. it seemed to take the odor out of those just fine. So.. It works as advertised.",pet supplies,health personal care
135,"Happy Family Midge and Baby - Ethnic I'd like the respond someone (who remain delightfully anonymous) who insulted my pregnant mother, by calling Midge a (...). First of all, my friend, please remember that kids will be reading these reviews, and you do not want them to pick up bad words, thank you very much.How is Midge a (...)? She's married, she has a husband, and a little son. (...) are women who walk around having (...) with lots of men, not pregnant women who are married. If Midge is a (...) then all those women who've ever been pregnant must also be (...). I find it so insulting to females to call pregnant women (...). That means your mother was also a (...) because she had to become pregnant to give birth to you. Oh, please, don't tell me you NEVER had a mother, who, in your fair opinion (hey if Midge is a (...), your mother was a (...), it's only fair, becaus eyour motehr and Midge were standing in the same position), was a (...) for becoming pregnant and giving birth to you!SUDDENLY WE LIVE IN A SOCIETY WHERE PREGNANT WOMEN WHO ARE MARRIED AND HAVE HOMES, HUSBANDS ARE TO LABELLED (...) - GET A GRIP, WILL YOU PLEASE!Most negative reviewers here mention something about this doll being connected with sex. Excuse me, I learned about pregnancy as a young child of three, but I knew nothing of sex until I was much older. When my little sister looks at my pregnant mother, the last thing she ever thinks about is sex. Kids know nothing about sex when they handle this doll, and if they do, it's because you told them! Midge doesn't doesn't say anything about sex (yeah, having a baby, but not full-blown SEX). Of course, if you're so dirty in the mind, that you HAVE to think ""sex"" every time you see a pregnant woman (or doll, for that matter), please, get mental therapy, because we don't need kids as young as four ( who know nothing of sex, just pregnancy) to read your reviews, and ask ""Mommy, what is sex?""Speaking of sex, parents, if you don't let your kids have a single idea of what sex is, they won't listen to you later on in life when you try to tell them about sex. The media would've already given them the wrong info they need. AND, if you wait until your kids are twelve, they will feel betrayed taht you kept a great secret like sex from them for twelve long years",toys games,health personal care
136,"Kinerase Lip Treatment I had seen slight plumping after using City Lips for a few months when I started using Kinerase. It took a few more months with the Kinerase, but I started seeing even greater gains in lip volume. My lower lip, which was never extemely thin, showed improvements first, but now, after more than a year, even my flimsy top lip has plumped up. It may have taken less time had I followed instructions better - it's important to apply outside the lip line and even going into the mouth slightly.The bottom line is that, while you may not see immediate results, you will eventually be shocked at what nice lips you have. Heck, I even got a comment a few days ago about what pretty lips I have (when I wasn't even wearing lipstick or gloss)...that's a first for me!!",health personal care,beauty
137,"Country Life Maxi Hair TR I did a big chop in August and my hair length was less than a inch.I wanted to grow my hair natural and I needed something to helpgrow my hair quickly, I tried biotin and other hair products and theydidn't work for me. Three weeks ago I discovered this product anddecide to give it a try and wow my hair is growing so fast I am justso amazed. I recommend this product it may not work for you butit certainly work for me I will be purchasing my second bottle soon.good job COUNTRY LIFE I AM HAPPY!!!",health personal care,beauty
138,"Tantus Goliath Vibrator I was really excited for this product. My BF is overseas, and has a thing for large penetration, So i bought this mostly for his video, but was hoping to get a little enjoyment out of it myself.While it fit the bill perfectly for the reason I bought it, and it inserts smooth, the entire vibration comes from a one touch bullet inserted in the end, and can be barely felt thru the massive size, which made me a sad little puppy.Aside from that, this product is great. Its soft, large but easy to take, fun to play with and overall amazing. Just don't buy this with the intention of being great on the vibration end.",health personal care,toys games
139,Sassy Who Loves Baby Photo Book This is so great. My son has loved it since christmas when he first got it. Now at 13 months he STILL loves it. Its great for us because he can see the relatives he dosent get to see much. They will be familiar faces when he sees them again in person. He loves to flip through the pages and slap it against his leg. Iti s totally droolproof too as none of the pictures have gotten ruined yet. This is one of the best toys we own!!,baby products,toys games
140,"Andis Universal Hair Clipper Cutting Guides Attachments Set of 9 These fit perfectly on the Andis 63100 Ceramic Clippers. They are spring loaded, and seem to be constructed very well. Seems to have just the right sizes in the pack. I would recommend these.",beauty,health personal care
141,"Original Sprout Miracle Detangler May be a small bottle but a hairstylist told me she waters it down a little and still works the same, love it! Great stuff",beauty,pet supplies
142,"PureFit Nutrition Bar, 2-Ounce Bars (Pack of 15) I have tried sooo many bars.... but now I can stop looking, because I found a winner with these. What a great flavor. I like the almond better than the peanut butter, but they are both excellent. The texture stays great, even after getting smashed up in the bottom of a tote bag! Good stuff. And gluten-free, too.",health personal care,grocery gourmet food
143,"Luna Bars, 1.69-Ounce Bars I am not a breakfast person, but Luna bars have managed to drag me kicking and screaming into eating something before lunch. Chocolate Peppermint is by far my favorite. I've also found they make great snack bars. And they're a lot cheaper to buy by the box.",grocery gourmet food,health personal care
144,"Dynamic Nutritional Products Concentrate Natural Black Cherry I used to drink a lot of juice, but these days, it's all filled with high fructose corn syrup and other sugars, and it's just too sweet and unhealthy. These days I mainly drink water, but I enjoy putting a little of this concentrate either in carbonated water or just tap water for a little flavor. And a bottle will last you FOREVER. Great stuff!",health personal care,grocery gourmet food
145,"First Blocks Muy buena calidad de los materiales, mientras no se mojen con agua caliente ya que se empiezan a despintar... mi pecado fue no comprar mas bloques...",toys games,health personal care
146,Merckens Coatings This coating melts wonderfully in the microwave and forms a perfectly smooth coating over whatever you choose to dip in it. I have lost our local Merckens supplier and was uncertain about ordering online (would it be fresh?) - it was great. Our traditional holiday treats got rave reviews.,grocery gourmet food,health personal care
147,"Beard & Moustache My son used this for a Stonewall Jackson costume and while it did work for that purpose, he indicated it was very uncomfortable and not made real well. I can't complain too much, though, for the price, it worked.",toys games,health personal care
148,HoMedics PAQ-30H Therapist Select Quad-Action Percussion Massager Ordered these walkie talkies for my 3 year old grandson. I was looking for something that would be a lot of fun and yet very durable. These are just that and very reasonably priced and work perfectly.,health personal care,toys games
149,"18'' Detachable Long Handle Natural Boar Bristle Brush Brush was bought following a recommendation from seminars aboard a cruise ship, along with other health and detoxifying methods. The brush was for sale on board for $44. Much better price here and its the exact same brush!",health personal care,beauty
150,"ROYALL SPYCE by Royall Fragrances AFTERSHAVE LOTION COLOGNE 8 OZ for MEN This item is made by Royall Fragrances in USA under license. The original Royall Spyce is still made in Bermuda by the company Royall Lyme. This item is not the same as authentic Royall Spyce from Bermuda.I just finished my old bottle (that was made in Bermuda) and opened the new one I had purchased from this listing. This one does NOT smell the same to me, and that is probably why some reviewers say that it is not what it used to be and smells different.The listing should disclose that the item is made in USA.I am going elsewhere to buy the real thing from Bermuda, which will run about $50 but is well worth the additional cost to get the original scent.",health personal care,beauty
151,"Cool Water By Davidoff For Men I've been using Cool Water for many years and never get sick of it. It has a very fresh clean scent - it's not one of those overpowering musky scents that many male fragrances seem to be, fortunately. My girlfriend loves it too - bonus! It does fade a little after a few hours though ..or maybe I've just got too used to it. To give you an idea of my taste, this and the new David Beckham Instinct are my favorites. I also liked Paco Rabanne Sport, but they stopped making it.",health personal care,beauty
152,"Fake Artificial Aquarium Fish Tank my 2 year old daughter loves fish! we felt she was too young for a real aquarium (mommy really didn't want something else to feed or clean up after) so we bought her this aquarium for her birthday. she absolutely loves it! the product is exactly what you see in the photos and it is exactly what is described. the plastic fish bob and move around quite a bit in the tank, very entertaining for a child. the only thing i would caution parents about is the tank is very heavy when filled with water and should be put somewhere a child can't knock it over, or mess around with the electrical plug, or take the lid off to get at the fish. ours is on a table eye level to our daughter. she can walk up to it and point at the fish, but she can't touch the tank. i'm very happy with the tank!",toys games,pet supplies
153,"LeapFrog LittleTouch LeapPad Educational Book Ok, so there are two sayings that I use ALL THE TIME. One is ""Ya'll ready ta hit this party?"" and the other is ""Let's get busy, baby!"" So you can just imagine my excitement when I realized that the latter had been turned into a baby learning device. And it's good! If you want your baby ""gettin into it"" and ""doin it to it,"" then this software is perfect for you. Do you picture your baby in a little pantsuit with a tiny suitcase, crawling out your door to work in the morning? Does that seem like just a far-off dream? Well not anymore, baby! Cause baby, this is gonna get your baby busy, baby! You think babies aren't able to attend quarterly stock review meetings at Hewlett-Packard? That's the way things USED to be. Now, not only can babies attend those meetings, they can LEAD them. After this easy-to-follow course, your baby will be able to recognize its nose, a banana, and shoes. After that, all you need to add to the mix is the aforementioned suit and briefcase, and your baby's gonna get busy all over the place! Now get to work, baby!",toys games,baby products
154,"Sandylion Decorative Wall Stickers - Disney Mickey Mouse My 2 year old absolutely LOVES these stickers!!! They are very durable and I like the fact that I can move them if I need to, just need to be careful not to rip off someone's neck. I wish all the characters were the same size. Mickey, Donald and Minnie are bigger than Goofy and Daisy so it looks a little weird, but no biggie. There is also a small version of Mickey and Minnie. I put up the characters and let my daughter put up the stars....which she loved. Recommend these for any Mickey lover.",baby products,toys games
155,Potty Mouth These were a waste of money. They didn't work at all for our 7 month old German Shepherd. What did work was pineapple. The other reviewers were correct - it is much cheaper. Definitely try the pineapple before you purchase a product like this.,pet supplies,baby products
156,"Aura Cacia Aromatherapy Mist I am happy with this lavender spray. Has a natural lavender smell that is pleasant and relaxing. Have been using the spray on the bed and pillows and sleeping wonderfully! Scent does not last as long as I had hoped but I will purchase again. Also, my kids love it and ask me to spray their rooms. I recommend this lavender spray.",health personal care,beauty
157,"Prince Lionheart Play Cabana I would not recommend this product.Tents are lots of fun for all kids, HOWEVER this tent is NOT just a pop-up tent. It take some time to set up and the poles are not durable or safe.My kids have used it for two days, and the wooden poles that hold up the tent split down the middle.I had to tape them back together and I, myself have gotten a deep splinter.For the amount of money I spent on this item I would have expected better quality.I would not recommend this product as a play item.",baby products,toys games
158,Portable Roll Up Piano Keyboard - JB4509JB4509 This is a cheap product. I wasn't expecting much but I did at least expect it to turn on when I put 4 brand new batteries in it.,toys games,health personal care
159,"Cosco Ability Care Adjustable Bath/Shower Chair, White I was not happy with this item as it was obviously a return from another purchaser - his name and address were still on the package - and it was missing the hardware needed to put it together. This was my first non-book purchase from Amazon and I was very disappointed.",health personal care,baby products
160,"Support - Breast Binder I bought this during my pregnancy, knowing I wasn't going to nurse my baby and remembering the pain in my breasts after my first baby was born. I wish I had brought it with me to the hospital, as my milk came in before I left, but as soon as I got home I started wearing it. My milk dried up in less than 2 weeks, and the discomfort was much less while I had it on. It was a life saver!",health personal care,baby products
161,"Progressive Superfresh Can Lid Fits 3 Sizes of Cans I can't seem to find a can that it actually fits well. It's an O.K. product, but not great.",pet supplies,grocery gourmet food
162,"Lily Of The Desert Aloe Vera Gel Whole Leaf I use this for so many things its not even funny, here are a few:I use it within an oil concoction for my hair to help with frizziness and it works amazingly well, especially since it helps to lower the ph of many alkaline hair products.On my skin, I use it every night as a sort of face gel after I cleanse to keep it from breaking out and getting too oily. It can be to drying in the winter so I add a few drops, 3-6, of jojoba oil.Occasionally my 3 year old would get small bumps on her face, I apply this at night and by morning she is clear.Whenever I get a cut or scrape I apply the gel and its helps ease the pain quickly even a burn my daughter and I received quite recently from a scalding pot of water.Lastly, I drank this to help better my well being since a good friend of mine with amazing skin mentioned how she would drink this. I never thought to taste it because it looked as if it would not be pleasing but I did and it tastes pretty darn good! I will post later what type of benefits I have received from drinking it but either way I keep a bottle or two in the house!",health personal care,beauty
163,"Traditional Medicinals Organic Nighty Night, 16-Count Boxes (Pack of 6) I've suffered from sleeplessness for many years and refuse to try any medications or pills to help me. After trying more than ten variety of tea brands (all still sitting in my kitchen!) to help me better sleep at night--I have found this one to work like wonders! I have been able to sleep soundly and even after waking up in the middle of the night, I am able to go back to sleep quickly. I drink a strong cup when I get home from work and throughout the evening w/dinner and have a cup sitting on my table near my bed. Even if I'm out late, I have a cup before bedtime and noticed I am able to sleep without waking up in the very early morning. I'm not sure if this will work for others who have also suffered from many nights of sleeplessness, but it sure has for me!",grocery gourmet food,health personal care
164,"Oshadhi Organic Essential Oil 50 Perfumes i ordered this product on december 6, in plenty of time for christmas; it took several weeks to arrive. very undependable because of this.",beauty,health personal care
165,"Skintimate Moisturizing Shave Gel, Glistening Pear - 7 oz its softens the skin leaves no hair but itches thats the only flaw Satin care is better",health personal care,beauty
166,"Cheerwine Soda Fridge Pack (24 unit pack) In the age of UPS, FedEx, DHL, and USPS, it's beyond ridiculous that I should be charged more for the shipping on this than for the product. This stuff is great, but it seems like the company sending it to you is more interested in gouging you on shipping than anything else.",grocery gourmet food,health personal care
